95982,"Barking football Club","Barking Football Club, Lodge Avenue, Dagenham","RM8 2JR",546614,185058,51.545377,0.112960,"Barking and Dagenham"
95984,"Barking Indoor Bowls Club Ltd","Indoor Bowls Hall, Barking Prk, Longbridge Road, Barking","IG11 8TA",544692,184653,51.542225,0.085096,"Barking and Dagenham"
95991,"Barking Rugby Union Football Club","Gale Street, Dagenham","RM9 4TX",547647,183924,51.534920,0.127357,"Barking and Dagenham"
95998,"Barking United Services Club","79 Blake Avenue, Barking","IG11 9SF",545650,183656,51.533030,0.098489,"Barking and Dagenham"
96004,"Beacon Tree","Beacon Tree, 945 Green Lane, Dagenham","RM8 1DJ",548489,186902,51.561457,0.140758,"Barking and Dagenham"
96100,"Chadwell Heath Cricket Club","St Chads Park, West Road, Chadwell Heath","RM6 6YA",547980,188485,51.575822,0.134086,"Barking and Dagenham"
96186,"Dagenham Conservative & Social Club","8-12 Salisbury Road, Dagenham","RM10 8TT",549853,184562,51.540071,0.159424,"Barking and Dagenham"
96195,"Dagenham Trades Hall","Dagenham Trades Hall, Charlotte Road, Dagenham","RM10 8TD",549728,184662,51.541003,0.157666,"Barking and Dagenham"
96232,"Eastbrook Pub","Eastbrook Pub, Dagenham Road, Dagenham","RM10 7UP",550164,185936,51.552334,0.164488,"Barking and Dagenham"
96250,"Empire Lounge","667-669 Green Lane, Dagenham","RM8 1UU",547260,186970,51.562389,0.123055,"Barking and Dagenham"
96398,"Harrow PH","Billet Road, Chadwell Heath","RM6 5PT",548079,189938,51.588852,0.136126,"Barking and Dagenham"
96509,"Kings Bull","2 North Street, Barking","IG11 8ET",544143,183997,51.536480,0.076917,"Barking and Dagenham"
96513,"Kings Lounge","2 Linton Road, Barking","IG11 8HG",544261,184275,51.538948,0.078730,"Barking and Dagenham"
96573,"Lord Denman PH","Lord Denman Ph, 270-272 Heathway, Dagenham","RM10 8QS",549064,184737,51.541852,0.148130,"Barking and Dagenham"
96627,"ME 'N' O'Briens","26-28 Goresbrook Road, Dagenham","RM9 6UR",549009,183667,51.532252,0.146884,"Barking and Dagenham"
96628,"Mecca Bingo Club","Cook Road, Dagenham","RM9 6UQ",548237,183680,51.532573,0.135769,"Barking and Dagenham"
96836,RoundHouse,"The Roundhouse, Lodge Avenue, Dagenham","RM8 2HY",546662,184766,51.542741,0.113515,"Barking and Dagenham"
96838,"Royal British Legion Club","541 Becontree Avenue, Dagenham","RM8 3JP",548209,186645,51.559221,0.136613,"Barking and Dagenham"
96839,"Royal British Legion Dagenham Club","Rectory Road, Dagenham","RM10 9SA",549487,184443,51.539099,0.154100,"Barking and Dagenham"
96877,"Scrattons Community Association Ltd","Scrattons Community Association Ltd, Morrison Road, Barking","IG11 0UA",548021,183437,51.530436,0.132554,"Barking and Dagenham"
96995,"Thatched House","The Thatched House Ph, Ripple Road, Barking","IG11 9PG",546139,183715,51.533425,0.105558,"Barking and Dagenham"
96997,"The Admiral Vernon","141 Broad Street, Dagenham","RM10 9HP",549269,184158,51.536587,0.150838,"Barking and Dagenham"
96998,"The Avenues Social Club Limited","231 Dagenham Road, Rush Green","RM7 0TH",550877,187170,51.563231,0.175296,"Barking and Dagenham"
97000,"The Barking Dog","The Barking Dog Ph, 61 Station Parade, Barking","IG11 8TU",544404,184344,51.539531,0.080819,"Barking and Dagenham"
97003,"The Bowl Bar (City Pavilion)","Collier Row Road, Romford","RM5 2BH",548842,190704,51.595516,0.147456,"Barking and Dagenham"
97007,"The Cedars Club","Cedars Club, Mill Lane, Chadwell Heath","RM6 6TT",548119,188160,51.572857,0.135954,"Barking and Dagenham"
97009,"The Cherry Tree Ph","Wood Lane, Dagenham","RM8 3LJ",548088,185910,51.552649,0.134560,"Barking and Dagenham"
97026,"The Jolly Fisherman PH","The Jolly Fisherman Ph, 108 North Street, Barking","IG11 8LA",543950,184520,51.541229,0.074350,"Barking and Dagenham"
97039,"The Royal Oak","Royal Oak, 201-203 Longbridge Road, Barking","IG11 8UF",545150,185136,51.546459,0.091891,"Barking and Dagenham"
97043,"The Spot","380 Ripple Road, Barking","IG11 9RS",545338,183910,51.535393,0.094095,"Barking and Dagenham"
97045,"The Three Travellers","The Three Travellers Ph, Wood Lane, Dagenham","RM10 7DS",549117,186860,51.560905,0.149792,"Barking and Dagenham"
97049,"The Victoria","The Victoria Ph, Axe Street, Barking","IG11 7LZ",544313,183903,51.535592,0.079328,"Barking and Dagenham"
97057,"Tollgate Tavern Public House","High Road, Chadwell Heath","RM6 6QT",548491,188131,51.572499,0.141305,"Barking and Dagenham"
97179,"Ahir Lorenzo's Bar Restaurant","298 Nether Street, London","N3 1RJ",525064,190865,51.602747,-0.195571,Barnet
97189,"Albanian Association","Albanian Association,  Summers Lane, London","N12 0PD",526634,191269,51.606027,-0.172783,Barnet
97228,"Annie's Freehouse","168 Ballards Lane, London","N3 2PA",525627,191187,51.605516,-0.187332,Barnet
97301,"Bald Faced Stag","Bald Faced Stag, 69 High Road, London","N2 8AB",527237,189406,51.589149,-0.164741,Barnet
97316,"Barnet Elizabethans Rugby Football Club Ltd","Barnet Rugby Football Club,  Byng Road, Barnet","EN5 4NS",523685,196944,51.657684,-0.213328,Barnet
97323,"Barnet Table Tennis Club","Barnet Table Tennis Centre,  Barnet Lane, Barnet","EN5 2DN",525124,195663,51.645851,-0.192993,Barnet
97387,"Blarneys Free House","128 Burnt Oak Broadway, Edgware","HA8 0BB",520074,190574,51.601217,-0.267686,Barnet
97401,Bodens,"99 East Barnet Road, Barnet","EN4 8RF",526819,195976,51.648277,-0.168396,Barnet
